iter	Passed	Remaining
0	115	115765
1	120	60062
2	124	41357
3	128	32023
4	132	26352
5	136	22570
6	140	19884
7	144	17909
8	148	16316
9	151	15017
10	155	13992
11	159	13127
12	162	12374
13	166	11755
14	170	11188
15	173	10693
16	177	10260
17	181	9879
18	184	9536
19	188	9225
20	191	8935
21	193	8623
22	196	8339
23	198	8073
24	200	7816
25	202	7570
26	203	7343
27	205	7133
28	206	6930
29	208	6743
30	209	6562
31	211	6396
32	212	6240
33	214	6089
34	215	5947
35	217	5817
36	218	5698
37	220	5581
38	221	5469
39	223	5359
40	224	5262
41	226	5170
42	228	5077
43	229	4986
44	230	4899
45	232	4816
46	233	4739
47	235	4666
48	236	4594
49	238	4523
50	239	4460
51	241	4404
52	243	4344
53	244	4285
54	246	4228
55	247	4172
56	249	4120
57	250	4069
58	251	4018
59	253	3970
60	255	3927
61	256	3881
62	257	3836
63	259	3796
64	261	3758
65	262	3716
66	263	3675
67	265	3635
68	266	3596
69	267	3560
70	270	3533
71	271	3498
72	272	3464
73	274	3431
74	275	3398
75	277	3368
76	278	3337
77	279	3307
78	281	3278
79	282	3250
80	284	3224
81	285	3198
82	286	3164
83	287	3138
84	289	3113
85	290	3088
86	291	3062
87	293	3039
88	294	3015
89	296	2993
90	297	2970
91	299	2952
92	300	2930
93	301	2909
94	303	2888
95	304	2869
96	306	2848
97	307	2829
98	308	2810
99	310	2791
100	311	2773
101	313	2757
102	315	2744
103	316	2726
104	317	2709
105	319	2693
106	320	2678
107	322	2662
108	323	2646
109	325	2631
110	326	2615
111	328	2602
112	329	2589
113	331	2574
114	332	2560
115	334	2546
116	335	2531
117	336	2518
118	338	2504
119	339	2491
120	341	2478
121	342	2463
122	343	2452
123	345	2440
124	346	2428
125	348	2415
126	349	2402
127	350	2390
128	352	2378
129	353	2367
130	355	2355
131	356	2344
132	357	2333
133	359	2323
134	361	2313
135	362	2302
136	363	2292
137	365	2282
138	366	2272
139	368	2262
140	369	2252
141	370	2239
142	372	2230
143	373	2222
144	375	2215
145	377	2207
146	378	2198
147	380	2189
148	381	2180
149	383	2171
150	384	2162
151	386	2153
152	387	2145
153	389	2137
154	390	2128
155	391	2120
156	393	2112
157	394	2104
158	396	2096
159	397	2088
160	398	2078
161	400	2070
162	401	2062
163	403	2058
164	405	2051
165	406	2044
166	408	2036
167	409	2030
168	411	2023
169	413	2016
170	414	2010
171	416	2003
172	418	2002
173	420	1996
174	422	1991
175	424	1985
176	425	1978
177	427	1972
178	428	1966
179	430	1960
180	431	1954
181	433	1950
182	435	1945
183	437	1938
184	438	1932
185	439	1925
186	441	1918
187	442	1912
188	444	1906
189	445	1899
190	447	1895
191	449	1890
192	450	1884
193	452	1878
194	453	1872
195	455	1866
196	456	1860
197	457	1854
198	459	1848
199	460	1842
200	462	1837
201	463	1832
202	465	1826
203	466	1821
204	468	1815
205	469	1809
206	470	1804
207	472	1798
208	473	1793
209	475	1787
210	476	1781
211	477	1776
212	479	1772
213	481	1767
214	482	1761
215	484	1757
216	485	1752
217	486	1746
218	488	1741
219	489	1736
220	491	1731
221	493	1730
222	495	1725
223	496	1720
224	497	1714
225	499	1710
226	501	1706
227	502	1701
228	504	1697
229	505	1692
230	507	1689
231	509	1687
232	511	1682
233	512	1678
234	514	1673
235	515	1669
236	517	1664
237	518	1660
238	520	1655
239	521	1651
240	523	1647
241	524	1644
242	526	1639
243	527	1634
244	528	1629
245	530	1625
246	531	1620
247	532	1615
248	534	1610
249	535	1606
250	536	1602
251	538	1598
252	540	1595
253	541	1591
254	543	1587
255	544	1583
256	546	1578
257	547	1575
258	549	1571
259	552	1571
260	553	1568
261	555	1564
262	557	1561
263	558	1557
264	560	1553
265	561	1549
266	562	1545
267	564	1541
268	565	1537
269	567	1535
270	569	1531
271	571	1528
272	572	1525
273	574	1522
274	576	1518
275	577	1514
276	579	1511
277	580	1507
278	582	1504
279	583	1501
280	585	1497
281	586	1493
282	587	1489
283	589	1484
284	590	1480
285	591	1477
286	593	1473
287	594	1469
288	596	1466
289	597	1463
290	599	1460
291	600	1457
292	602	1453
293	603	1449
294	605	1446
295	606	1442
296	607	1438
297	609	1435
298	610	1432
299	612	1429
300	614	1426
301	615	1422
302	616	1419
303	618	1415
304	619	1412
305	621	1408
306	622	1405
307	623	1401
308	625	1398
309	626	1395
310	628	1392
311	630	1389
312	631	1386
313	632	1382
314	634	1379
315	635	1375
316	637	1372
317	638	1369
318	640	1366
319	641	1363
320	643	1360
321	644	1357
322	646	1354
323	647	1351
324	649	1348
325	650	1344
326	651	1341
327	653	1337
328	654	1334
329	655	1331
330	657	1328
331	659	1326
332	660	1322
333	661	1320
334	663	1316
335	664	1313
336	666	1310
337	667	1307
338	669	1304
339	670	1301
340	672	1299
341	673	1296
342	675	1293
343	676	1289
344	677	1287
345	679	1284
346	681	1281
347	682	1278
348	683	1275
349	685	1272
350	686	1270
351	688	1267
352	689	1264
353	691	1261
354	692	1258
355	694	1255
356	695	1252
357	697	1249
358	698	1246
359	699	1244
360	701	1241
361	702	1238
362	704	1235
363	705	1232
364	707	1230
365	708	1227
366	709	1224
367	711	1221
368	712	1218
369	714	1215
370	715	1213
371	717	1210
372	718	1207
373	719	1204
374	721	1202
375	722	1199
376	724	1196
377	725	1193
378	726	1191
379	728	1188
380	729	1185
381	731	1183
382	733	1181
383	735	1179
384	736	1176
385	737	1173
386	739	1171
387	740	1168
388	741	1165
389	743	1162
390	744	1159
391	746	1158
392	748	1155
393	749	1152
394	751	1150
395	752	1147
396	754	1145
397	755	1142
398	756	1139
399	758	1137
400	759	1134
401	761	1132
402	762	1129
403	763	1126
404	765	1124
405	766	1121
406	767	1118
407	769	1115
408	770	1113
409	771	1110
410	773	1107
411	774	1105
412	775	1102
413	777	1100
414	778	1097
415	780	1095
416	781	1092
417	782	1089
418	784	1087
419	785	1084
420	786	1082
421	788	1079
422	789	1077
423	791	1075
424	793	1073
425	794	1070
426	795	1067
427	797	1065
428	798	1062
429	799	1060
430	801	1058
431	802	1055
432	804	1053
433	805	1051
434	807	1048
435	808	1046
436	810	1043
437	811	1041
438	813	1038
439	814	1036
440	815	1034
441	817	1031
442	818	1029
443	820	1026
444	821	1024
445	823	1022
446	824	1019
447	825	1017
448	827	1015
449	828	1012
450	829	1010
451	831	1007
452	832	1005
453	834	1003
454	835	1001
455	837	998
456	838	996
457	840	994
458	841	991
459	842	989
460	844	987
461	846	985
462	847	982
463	848	980
464	850	978
465	852	976
466	853	974
467	855	972
468	856	969
469	858	967
470	859	965
471	860	963
472	862	960
473	863	958
474	865	956
475	866	954
476	868	951
477	869	949
478	871	947
479	872	945
480	874	943
481	875	941
482	877	939
483	878	936
484	880	935
485	882	932
486	883	930
487	885	928
488	886	926
489	887	924
490	889	921
491	890	919
492	892	917
493	893	915
494	895	913
495	896	911
496	898	909
497	899	906
498	901	904
499	902	902
500	903	900
501	905	898
502	906	895
503	908	893
504	909	891
505	911	889
506	913	887
507	914	885
508	916	883
509	917	881
510	919	879
511	920	877
512	922	875
513	923	873
514	925	871
515	926	869
516	928	867
517	929	865
518	931	862
519	932	860
520	933	858
521	935	856
522	936	854
523	937	852
524	939	850
525	941	848
526	942	845
527	943	843
528	945	841
529	946	839
530	948	837
531	949	835
532	951	833
533	952	831
534	954	829
535	955	827
536	957	825
537	958	823
538	960	821
539	961	819
540	962	816
541	964	814
542	965	812
543	967	810
544	968	808
545	970	806
546	971	804
547	973	802
548	974	800
549	975	798
550	977	796
551	978	794
552	980	792
553	981	790
554	983	788
555	984	786
556	986	784
557	987	782
558	989	780
559	990	778
560	991	776
561	993	774
562	994	771
563	995	769
564	997	767
565	998	765
566	1000	764
567	1001	761
568	1003	759
569	1004	757
570	1006	755
571	1007	754
572	1009	752
573	1011	750
574	1012	748
575	1014	746
576	1016	744
577	1017	743
578	1019	741
579	1020	739
580	1022	737
581	1023	735
582	1025	733
583	1026	731
584	1028	729
585	1030	727
586	1032	726
587	1033	724
588	1035	722
589	1036	720
590	1038	718
591	1039	716
592	1041	714
593	1043	712
594	1045	711
595	1046	709
596	1048	707
597	1049	705
598	1051	703
599	1052	701
600	1053	699
601	1055	697
602	1056	695
603	1058	694
604	1060	692
605	1062	690
606	1063	688
607	1065	686
608	1066	684
609	1067	682
610	1069	680
611	1070	678
612	1071	676
613	1073	674
614	1074	672
615	1076	671
616	1078	669
617	1079	667
618	1080	665
619	1081	663
620	1083	661
621	1084	659
622	1085	657
623	1087	655
624	1088	653
625	1090	651
626	1092	649
627	1093	647
628	1095	645
629	1096	643
630	1097	641
631	1098	639
632	1100	638
633	1102	636
634	1105	635
635	1107	633
636	1108	631
637	1110	629
638	1111	627
639	1113	626
640	1114	624
641	1115	622
642	1117	620
643	1118	618
644	1120	616
645	1122	614
646	1123	612
647	1124	610
648	1126	609
649	1127	607
650	1128	605
651	1131	603
652	1132	601
653	1134	600
654	1136	598
655	1137	596
656	1138	594
657	1140	592
658	1141	590
659	1143	588
660	1144	586
661	1145	585
662	1147	583
663	1148	581
664	1151	579
665	1152	577
666	1153	576
667	1155	574
668	1156	572
669	1158	570
670	1159	568
671	1161	566
672	1162	564
673	1164	563
674	1166	561
675	1167	559
676	1169	557
677	1170	555
678	1171	554
679	1173	552
680	1174	550
681	1176	548
682	1177	546
683	1179	544
684	1180	543
685	1182	541
686	1183	539
687	1185	537
688	1186	535
689	1187	533
690	1189	531
691	1190	529
692	1192	528
693	1193	526
694	1195	524
695	1196	522
696	1198	520
697	1199	518
698	1200	517
699	1202	515
700	1203	513
701	1205	511
702	1206	509
703	1207	507
704	1209	506
705	1211	504
706	1212	502
707	1214	500
708	1215	498
709	1217	497
710	1218	495
711	1219	493
712	1221	491
713	1222	489
714	1224	488
715	1226	486
716	1227	484
717	1228	482
718	1230	480
719	1231	478
720	1233	477
721	1234	475
722	1236	473
723	1237	471
724	1239	469
725	1240	468
726	1242	466
727	1243	464
728	1245	462
729	1246	461
730	1247	459
731	1249	457
732	1250	455
733	1252	453
734	1254	452
735	1255	450
736	1257	448
737	1258	446
738	1259	444
739	1261	443
740	1262	441
741	1264	439
742	1265	437
743	1266	435
744	1269	434
745	1270	432
746	1272	430
747	1274	429
748	1275	427
749	1276	425
750	1278	423
751	1279	422
752	1281	420
753	1283	418
754	1285	417
755	1287	415
756	1288	413
757	1290	411
758	1291	410
759	1293	408
760	1294	406
761	1296	404
762	1298	403
763	1300	401
764	1301	399
765	1303	398
766	1304	396
767	1306	394
768	1307	392
769	1308	390
770	1310	389
771	1312	387
772	1314	385
773	1315	384
774	1317	382
775	1318	380
776	1320	378
777	1321	377
778	1323	375
779	1324	373
780	1326	371
781	1328	370
782	1330	368
783	1331	366
784	1333	365
785	1334	363
786	1336	361
787	1337	359
788	1339	358
789	1341	356
790	1343	354
791	1345	353
792	1346	351
793	1348	349
794	1349	348
795	1351	346
796	1352	344
797	1354	342
798	1356	341
799	1357	339
800	1359	337
801	1361	336
802	1362	334
803	1364	332
804	1365	330
805	1367	329
806	1368	327
807	1370	325
808	1371	323
809	1374	322
810	1376	320
811	1377	318
812	1379	317
813	1380	315
814	1383	313
815	1384	312
816	1386	310
817	1388	308
818	1390	307
819	1391	305
820	1393	303
821	1395	302
822	1396	300
823	1398	298
824	1399	296
825	1401	295
826	1403	293
827	1405	291
828	1407	290
829	1409	288
830	1411	287
831	1413	285
832	1414	283
833	1416	281
834	1417	280
835	1420	278
836	1421	276
837	1423	275
838	1424	273
839	1426	271
840	1427	269
841	1429	268
842	1430	266
843	1431	264
844	1433	263
845	1435	261
846	1437	259
847	1438	257
848	1439	256
849	1441	254
850	1442	252
851	1444	250
852	1445	249
853	1447	247
854	1448	245
855	1450	244
856	1452	242
857	1453	240
858	1455	238
859	1456	237
860	1458	235
861	1459	233
862	1461	231
863	1465	230
864	1466	228
865	1468	227
866	1469	225
867	1470	223
868	1472	221
869	1473	220
870	1475	218
871	1476	216
872	1477	214
873	1479	213
874	1480	211
875	1482	209
876	1483	208
877	1485	206
878	1486	204
879	1487	202
880	1489	201
881	1490	199
882	1492	197
883	1493	195
884	1495	194
885	1496	192
886	1497	190
887	1499	189
888	1500	187
889	1501	185
890	1503	183
891	1504	182
892	1506	180
893	1507	178
894	1509	177
895	1510	175
896	1512	173
897	1513	171
898	1514	170
899	1516	168
900	1517	166
901	1519	165
902	1520	163
903	1521	161
904	1523	159
905	1525	158
906	1526	156
907	1528	154
908	1529	153
909	1530	151
910	1532	149
911	1533	147
912	1535	146
913	1536	144
914	1537	142
915	1539	141
916	1541	139
917	1542	137
918	1544	136
919	1545	134
920	1547	132
921	1548	131
922	1549	129
923	1551	127
924	1552	125
925	1554	124
926	1555	122
927	1557	120
928	1558	119
929	1560	117
930	1561	115
931	1562	114
932	1564	112
933	1565	110
934	1567	108
935	1568	107
936	1570	105
937	1571	103
938	1573	102
939	1574	100
940	1575	98
941	1576	97
942	1578	95
943	1579	93
944	1580	91
945	1581	90
946	1583	88
947	1585	86
948	1586	85
949	1587	83
950	1589	81
951	1590	80
952	1591	78
953	1593	76
954	1594	75
955	1596	73
956	1597	71
957	1599	70
958	1601	68
959	1602	66
960	1603	65
961	1605	63
962	1606	61
963	1607	60
964	1609	58
965	1610	56
966	1612	55
967	1613	53
968	1615	51
969	1616	49
970	1618	48
971	1619	46
972	1620	44
973	1622	43
974	1623	41
975	1625	39
976	1626	38
977	1628	36
978	1630	34
979	1631	33
980	1632	31
981	1634	29
982	1635	28
983	1637	26
984	1638	24
985	1639	23
986	1641	21
987	1642	19
988	1644	18
989	1646	16
990	1647	14
991	1649	13
992	1650	11
993	1651	9
994	1653	8
995	1654	6
996	1655	4
997	1657	3
998	1659	1
999	1660	0
